captainName,rank,nationality,company,Image
P. Dibbetz,Ltz,Dutch,ADM,
Richard Bickerton,Captain,British,RN,
James Orrok,Captain,British,RN,
J. Modera,LtZ,Dutch,MAR,
de Vaugiraud,Cdt.,French,,
P. Haagsma,Kapitein,Dutch,,
J. Delvos,Kapitein,Dutch,ADM,
M. Poulin de Courval,Cdt.,French,,
Jacob Duif,Kapitein,Dutch,,
James Smith,Captain,British,RN,
Cornelis van Hayen,Schipper,Dutch,MCC,
James Young,Captain,British,RN,
James Young,Captain,British,EIC,
F.H. Ampt,KLtZ,Dutch,ADM,
IGNACIO MARA DE LAVA,CAPITAN,Spanish,,
JOSEPH DE LA SOMAGLIA,CAPITAN,Spanish,,
James Alms,Captain,British,RN,
Richard King,Captain,British,RN,
Antonio Albuerne,Capitan,Spanish,,
H.P.Hazewinckel,Kapitein,Dutch,,
Michiel Jurgens,Kapitein,Dutch,VOC,
G. Jonker,LtZ,Dutch,MAR,
FRANCISCO ESPIAN,CAPITAN,Spanish,,
Justice Finley,Captain,British,RN,
W. Tieman,KLtZ,Dutch,MAR,
Issac Prescott,Captain,British,RN,
Issac Smith (prize master),Captain,British,RN,
Edward Marsh,Captain,British,RN,
William Bowen,Captain,British,RN,
A.J.J. van Lustenburg,Kapitein,Dutch,MAR,
William Cleverly,Captain,British,RN,
George Talbot,Captain,British,RN,
J. Hilbrands,,Dutch,,
W. Courrech,1e schrijver,Dutch,MAR,
William Christopher,Captain,British,Hudson Bay Company,
ANTONIO DE CRDOBA,CAPITAN,Spanish,,
Jacobus Arkenbout,KtZ,Danish,OIC,
F.H.J. Taski,Kapitein,Dutch,,
S. Veenstra,,Dutch,,
FELIPE JONGSON,PILOTO,Spanish,,
John Boyd,Captain,British,RN,
H.M. Dibbits,Kapitein,Dutch,,
M. Moriset,Cdt.,French,,
G. T. Hinxt,LtZ,Dutch,MAR,
GREGORIO DE JOSE Y LLAOS,ALFEREZ DE FRAGATA,Spanish,,
William Duddington,Captain,British,RN,
VICENTE TOFIO,CAPITAN,Spanish,,
Claas Jager,Kapitein,Dutch,MAR,
FCO. MELGAREJO,CAPITAN,Spanish,,
PEDRO JUAN DE ABAROA,CAPITAN,Spanish,,
A. Tozer,Captain,British,RN,
E.J. Kok,Kapitein,Dutch,,
FRANCISCO MEDINA,COMANDANTE,Spanish,,
J. Blom,Kapitein,Dutch,,
James Baldwin,Captain,British,EIC,
Henry Bayntun,Captain,British,RN,
Thomas Newnham,Captain,British,RN,
James Tweedale,Captain,British,EIC,
C. Neurenberg,Kapitein,Dutch,,
Joshua Sydney Horton,Captain,British,RN,
JOSEF PONCE,CAPITAN,Spanish,,
D. Keus,Kapitein,Dutch,,
Joseph Boulders,Captain,British,EIC,
Willem de Molder,Schipper,Dutch,MCC,
Thomas Baddison,Captain,British,EIC,
Thomas Alexander,Captain,British,RN,
ANTONIO MAESIA,TENIENTE DE NAVO,Spanish,,
John Searle,Captain,British,RN,
J.P. Carst,,Dutch,MER,
John Markham,Captain,British,RN,
H. Bruhn,Kapitein,Dutch,,
A. de Monije,KtZ,Dutch,ADM,
Richard Smith,Captain,British,RN,
P. van Peer,Kapitein,Dutch,ADM,
Manuel de Abona,Capitan,Spanish,,
B. Bakker,Kapitein,Dutch,,
J. Galus,LtZ,Dutch,MAR,
John Lee,Captain,British,RN,
C. van der Hart,KLtZ,Dutch,MAR,
T. Lancester,Kapitein,Dutch,,
Brodie Hepworth,Captain,British,EIC,
William Scott,Captain,British,RN,
J. Admiraal,Kapitein,Dutch,,
Abrahams,Kapitein,Dutch,Marine,
Samuel Hood Linzee,Captain,British,RN,assets/img/Samuel_Hood_Linzee.jpg
M.C. van Vreeland,Kapitein,Dutch,,
H. Hofmeijer,Kapitein,Dutch,MER,
D. Ochtman,Kapitein,Dutch,,
George Raincock,Captain,British,EIC,
D. van Ketwich,,Dutch,,
JOSE DE BUSTAMANTE Y GUERRA,,Spanish,,
J.W. dEverdinge van der Nijp,Kapitein,Dutch,Marine,
James Ogilvie,Captain,British,EIC,
A. van Wachendorf van Rijn,,Dutch,,
Henry Davis,Captain,British,RN,
Sir Home Popham,Captain,British,RN,assets/img/Home_Riggs_Popham.jpg
Jonathan Falkingham,Captain,British,RN,
FRANCISCO DE BORJA,CAPITAN,Spanish,,
JOS_ DE LA SOMAGLIA,CAPITAN,Spanish,,
JUAN MANUEL DE LA MATA,CAPITAN,Spanish,,
De Momije,Kapitein,Dutch,Marine,
A. van Wijk,Kapitein,Dutch,,
Den Berger,Luitenant,Dutch,Marine,
Benjamin Lowe,Captain,British,EIC,
Mr. MANIER,COMANDANTE,Spanish,,
ANDR_S DE VIEDMA,TENIENTE DE NAVO,Spanish,,
John Gell,Captain,British,RN,
FCO. ANTONIO DE MONTES,CAPITAN,Spanish,,
John Randell,Captain,British,RN,
Thomas Hankerson,Captain,British,RN,
Dirk Varkevisser,Kapitein,Dutch,VOC,
Henry Churchhill,Captain,British,EIC,
T.B. Teunissen,Kapitein,Dutch,,
Sam Thompson,Captain,British,RN,
Charles Hudson,Captain,British,RN,
James Dunbar,Captain,British,RN,
N. Koens,Kapitein,Dutch,,
G.H. Creyke,Captain,British,RN,
LOYGORRI,CAPITAN,Spanish,,
ANDR_S VIEDMA,TENIENTE DE NAVO,Spanish,,
,,Dutch,Marine,
John Rous,Captain,British,RN,
John Harvey,Captain,British,RN,
Lord William Fitzroy,Captain,British,RN,
D. Atkins,Captain,British,RN,
G.C. Zoutman,LtZ-1,Dutch,,
Walter Stirling,Captain,British,RN,
MARIANO MERINO,CAPITAN,Spanish,,
Robert Barton,Captain,British,RN,
James Rees,Captain,British,EIC,
William Grant,Captain,British,RN,
John Laforey,Captain,British,RN,
Charles Holmes,Captain,British,RN,
Charles Hope,Captain,British,RN,
John Churchill,Captain,British,EIC,
Basil Hall,Captain,British,RN,assets/img/basil_hall.jpg
Nogeree de la Filliere,Cdt.,French,,
ANTONIO DOMONTE,CAPITAN,Spanish,,
Charles Napier,Captain,British,RN,
JUAN BAUTISTA BONET,ALMIRANTE,Spanish,,
Johannes Jansen Eije,Luitenant,Dutch,ADM,
De Castellane la Valette,Cdt.,French,,
William OHara,Captain,British,RN,
John Challoner Jackson,Captain,British,RN,
John Tailour,Captain,British,RN,
M. Du Beauregard,Cdt.,French,,
J. t Hart,3e waak,Dutch,VOC,
P.M. van der Haak,,Dutch,,
Jos Francisco Becerra,Capitan,Spanish,,
C.J. Berghuis,LtZ,Dutch,,
Ampt,Luitenant ter Zee,Dutch,Marine,
JOAQUIN DE OLIVARES,CAPITAN,Spanish,,
J. Haagsma,Kapitein,Dutch,MAR,
James Galbraith,Captain,British,RN,
M. Le Comte de Grasse,Cdt.,French,,assets/img/De_Grasse.jpg
W. Williamson,Captain,British,EIC,
Thomas Dove ,Captain,British,RN,
T. Rietmeijer,Kapitein,Dutch,,
M. Large,Cdt.,French,,
A. de Monye,Kapitein,Dutch,,
ANDR_S SAURI,PILOTO,Spanish,,
C.P. Kuyper,Kapitein,Dutch,,
Van de Koppel,Kapitein,Dutch,,
DOisy,Cdt.,French,,
,,Dutch,MAR,
F.J. Hoffman,,Dutch,,
Joseph Mead,Captain,British,RN,
Christopher Haliday,Captain,British,RN,
John Osborn,Captain,British,RN,
Henry Blackwood,Captain,British,RN,
Carel Bredau,Kapitein,Dutch,MCC,
Henry Raper,Captain,British,RN,
H.J. Jolly,KLtz,Dutch,MAR,
A.A. s Graenwen,,Dutch,,
James Cumming,Captain,British,RN,
C. Visman,Kapitein,Dutch,,
Hilde Hendriksz Hoek,Schipper,Dutch,VOC,
H. Rijsterborgh,Ltz,Dutch,,
M. De Rosily,Cdt.,French,,
L. Fuchs,KLtZ,Dutch,ADM,
Dlpheran,Cdt.,French,,
Edmund Cooke,Author,British,EIC,
Robert Bond,Captain,British,RN,
Taalman,Kapitein,Dutch,ADM,
de Rospiec Trevier,Cdt.,French,,
Engelbertus Lucas,Commandeur,Dutch,WHA,
Zoutman,Kapitein,Dutch,ADM,
Richard Tiddeman,Captain,British,RN,
W. Jacobsen,Kapitein,Dutch,VOC,
Henry Carew,Captain,British,RN,
J. Reynolds,Captain,British,RN,
Mellenik,KLtz,Dutch,Marine,
Van Diemer,Luitenant ter Zee,Dutch,Marine,
Thomas Hicks,Captain,British,RN,
Thomas Field,Author,British,EIC,
Luis Antonio Musquez,Capitan,Spanish,,
Hoffman,,Dutch,,
D. Leeuwerik,Kapitein,Dutch,,
JOSE BUSTILLOS,CAPITAN DE FRAGATA,Spanish,,
Cornelis van Kakom,Schipper,Dutch,MCC,
Charles Ogle,Captain,British,RN,
A. van Dalen,Kapitein,Dutch,MAR,
J Robinson,Captain,British,RN,
George Vandeput,Captain,British,RN,
Thomas Affleck,Captain,British,RN,
C Burrows,Captain,British,EIC,
John Butchart,Captain,British,RN,
D. Smulders,Schipper,Dutch,MCC,
A.P. Klein,,Dutch,,
R. Grivel,Kapitein,Dutch,,
Henry Waterhouse,Captain,British,RN,assets/img/henry_waterhouse.jpg
Roger Mainwaring,Captain,British,RN,
J.G. Huijs,Ktz,Dutch,ADM,
Roger Mainwaring,Captain,British,EIC,
H.P. Visser,Kapitein,Dutch,Particulier,
G. W. Moll,Kapitein,Dutch,MER,
Ewout van Haeftent,,Dutch,ADM,
F. Mathijssen,Kapitein,Dutch,,
,,British,Merchant Navy,
A. Collins,Captain,British,RN,
John Okes (Edward Clarke dead),Captain,British,RN,
M de la Clu,Cdt,French,,
G. Abrahams Jr.,Kapitein,Dutch,,
M. Du Saint Agnant,Cdt.,French,,
Thomas Ridell,Captain,British,EIC,
De Kerlerec,Cdt.,French,,
Anthony Jonyn,Captain,British,RN,
Francis Samuel Drake,Captain,British,RN,
Francis Banks,Captain,British,RN,
Bolken,KLtZ,Dutch,ADM,
MANUEL CORNEJO,CAPITAN,Spanish,,
D. Grim,Kapitein,Dutch,,
A.J. Smit van den Broecke,KLtZ,Dutch,MAR,
A. Bezemer,Kapitein,Dutch,Particulier,
George Legge,Captain,British,RN,
J. Diemer,Kapitein,Dutch,Marine,
John Blanshard,Captain,British,EIC,
Ernst Baronde Peterse,Schout bij nacht,Dutch,ADM,
T. Groot,KtZ,Dutch,ADM,
William Granger,Captain,British,RN,
R.W. Farrington,Captain,British,EIC,
Jos de Merino,Capitan,Spanish,,
C.P. Kuiper,Kapitein,Dutch,,
John Russell,Captain,British,RN,
J. van Sprang,,Dutch,MCC,
J.W. Jollij,LtZ,Dutch,MAR,
N.A. Dijkama,Kapitein,Dutch,,
ANTONIO ZULUETA,CAPITAN,Spanish,,
JOSE DE PUERTAS,,Spanish,,
J.C. Fanning,Kapitein,American,,
Connigsby Norbury,Captain,British,RN,
J.F.G. de la Perouse,Kapitein,French,,
A. Schaap,Kapitein,Dutch,A. van Hoboken & zn. Te Rotterdam.,
John Whitby,Captain,British,RN,
Engelbertus Lucas,Commandeur,Dutch,ADM,
Boelen,Kapitein ter Zee,Dutch,MAR,
Thomas McTaggart,Captain,British,EIC,
Willem van Braam,Kapitein,Dutch,ADM,
J. Zoeteman,KLtz,Dutch,MAR,
Charles Woolsey,Captain,British,RN,
Robert Fanshaw,Captain,British,RN,
Francis Cheyne,Captain,British,EIC,
Hyde Parker,Captain,British,RN,
John Pakenham,Captain,British,RN,
William Abdy,Captain,British,RN,
C. de Jong,Kapitein,Dutch,ADM,
Gerhard Aalbers,Kapitein,Dutch,ADM,
Erasmus Gower,Captain,British,RN,
Andrew Berkley,Captain,British,RN,
Hugh Scott,Captain,British,EIC,
George Hayter,Captain,British,EIC,
Thomas Sanders,Captain,British,EIC,
H. de Rhijn,Kapitein,Dutch,,
J.H. Dibbetz,Kapitein,Dutch,MAR,
Lord Augustus Fitzroy,Captain,British,RN,assets/img/Augustus_FitzRoy.jpg
John Colville,Captain,British,RN,
William Maltby,Captain,British,RN,
Skeffington Lutwidge,Captain,British,RN,
Volmer Knollaert,LtZ,Dutch,,
Kievyt,Kapitein,Dutch,,
ALBERTO OLANDO,CAPITAN,Spanish,,
William Bayne,Captain,British,RN,
JOSE DE CORDOBA,JEFE DE ESCUADRA,Spanish,,
JOSEPH (QUEBEC?),CAPITAN,Spanish,,
Richard Edwards,Captain,British,RN,
F.Cars,,Dutch,,
Josiah Pryce,Captain,British,EIC,
Paling,Luitenant ter Zee,Dutch,MAR,
John Deane,Captain,British,RN,
Bernard Causse,Cdt.,French,,
,,British,RN,
Pen Hallow Cuming,Captain,British,RN,
Charles Buckner,Captain,British,RN,
,,British,EIC,
A. Schaap (A 246),Kapitein,Dutch,"A. Hoboken, Rotterdam",
Hendrik Landleven,Kapitein,Dutch,MCC,
Mark Robinson,Captain,British,RN,
William Christopher,Captain,British,Hudson Bay company,
De Bausset,Cdt,French,,
William Clark,Captain,British,RN,
Richard Toby,Captain,British,RN,
Lt Hyde Parker,Captain,British,RN,
Duintjer,Kapitein,Dutch,,
J. Poort,Kapitein,Dutch,,
C.J. Brugman,Kapitein,Dutch,VOC,
Deshayes de Cry,Cdt.,French,,
J.A. Pronk,,Dutch,,
CAPITAN,MANUEL MIN,Spanish,,
De la Biochaye,Cdt.,French,,
Luis de Videgaray,Capitan,Spanish,,
ROMN DE NOVIA,CAPITAN,Spanish,,
F. Fokkens,Kapitein,Dutch,,
M. Du Beaulieu,Cdt.,French,,
J. van Kerkhoven,Schipper,Dutch,MCC,
Juan A. Gonzlez,Capitan,Spanish,,
Henry Powlett,Captain,British,RN,
J. Wilton,Schipper,Dutch,MCC,
SEBASTIN RUIZ DE APODACA,CAPITAN,Spanish,,
F. Schut,Kapitein,Dutch,,
PEDRO DE LEYBA,CAPITAN,Spanish,,
Buyskes,,Dutch,,
Captain Smedley,Captain,British,EIC,
ANTONIO DE ARCE,CAPITAN,Spanish,,
John Weller,Captain,British,RN,
John Dick,Captain,British,RN,
Edward Pratten,Author,British,RN,
Simon Miller,Captain,British,RN,
J.W. Moll,,Dutch,,
John Davy Foulkes,Captain,British,EIC,
George Grey ,Captain,British,RN,
Francis Ourry,Captain,British,RN,
Charles Masson,Captain,British,EIC,
MR. LOTHE,CAPITAN,Spanish,,
J. de Wilde,Kapitein,Dutch,ADM,
Richard Doveton,Captain,British,EIC,
Anthony Kirby,Captain,British,RN,
William Norman,Captain,British,RN,
De Caumont,Cdt.,French,,
M. Du Repentigny,Cdt.,French,,
Van Daalen,Commandant kolonel,Dutch,MAR,
L. J. de Wuese,KltZ,Dutch,MAR,
Enslie,Ltz,Dutch,ADM,
Job Gerritsen,Kapitein,Dutch,MCC,
Rolland,Cdt.,French,,
Percy Grace,Captain,British,RN,
A. Schaap Mz.,Kapitein,Dutch,,
Dugald Macdougall,Captain,British,EIC,
ANTONIO MESIA,TENIENTE DE NAVO,Spanish,,
PEDRO TRUXILLO,CAPITAN,Spanish,,
Samuel  Sule,Captain,British,EIC,
P. van Hoogwerf,Kapitein,Dutch,Admiraliteit,
A. van Wijk Jurriaanse,Kapitein,Dutch,,
de Paroy,Cdt.,French,,
JUAN DE DIOS IZQUIERDO,CAPITAN,Spanish,,
GABRIEL GUERRA,CAPITN DE FRAGATA,Spanish,,
JULIAN PARREO Y CASTRO,ALFEREZ DE NAVIO,Spanish,,
J.S. Weerstand,Kapitein,Dutch,WIC,
L. Hautepen,Schipper,Dutch,VOC,
ANTONIO DE CRDOVA,CAPITAN,Spanish,,
Ten Boekel,Kapitein,Dutch,,
C.D. Hartman,1e schrijver,Dutch,MAR,
John Moutrey,Captain,British,RN,
SOMAGLIA (?),COMANDANTE (BRIGADIER DE ,Spanish,,
H.C. Albers,Ltz,Dutch,MAR,
Peter Parker,Captain,British,RN,
Cornelis Maarschalk,,Dutch,MCC,
A. Kuvel,Kapitein,Dutch,ADM,
M. Gerritsz. Boos,Opperstuurman,Dutch,VOC,
Robert Digby,Captain,British,RN,
J. Alms,Captain,British,RN,
Jos de Santalices ,Capitan,Spanish,,
FRANCISCO ALESSON,TENIE NTE DE FRAGATA,Spanish,,
Isreal Pellow,Captain,British,RN,
Mart_n Bad_a,Capitan,Spanish,,
Charles Sidney Davies,Captain,British,RN,
George Cockburne,Captain,British,RN,
Matthew Whitwell,Captain,British,RN,
I.P. Machielsen,KtZ.,Dutch,,
C. van Kakom,Kapitein,Dutch,MCC,
,,Dutch,VOC,
Edward Cauldwell,Captain,British,RN,
Grimaldy,Cdt.,French,,
ALBERTO OLAONDO,CAPITAN,Spanish,,
Francis Tinsley,Captain,British,RN,
J.G. Reinitz,Kapitein,Dutch,,
R Roddman,Captain,British,RN,
Adam Ooms,Commandeur,Dutch,WHA,
PEDRO DE LEIVA,CAPITAN,Spanish,,
John Skoltowe,Captain,British,EIC,
A. dHesmivy dAuribeau,Kapitein,French,ADM,
M de Beauregard,cdt.,French,,
A Gurin,Cdt.,French,,
F. Cars,,Dutch,,
J. Hakker,Kapitein,Dutch,,
George Bowen,Captain,British,RN,
De Carn,Cdt.,French,,
Lord John Spencer Churchill,Captain,British,RN,
Pool,KLtZ,Dutch,MAR,
FRANCISCO ANTONIO,CAPITAN,Spanish,,
William Martin,Captain,British,RN,
John Williams,Captain,British,RN,
Thomas Lynn,Captain,British,RN,
Hamilton,Kapitein,American,,
P. van Hoogwerff,Kapitein,Dutch,ADM,
W. Stover,Captain,British,RN,
J. Bougue,Schipper,Dutch,MCC,
M. Du la Jonquiere,Cdt.,French,,
George Collier,Captain,British,RN,
John Peighin,Captain,British,RN,
J.W. Stoll,Ltz.,Dutch,,
Robert Ramsay,Captain,British,RN,
John Piere,Captain,British,EIC,
Richard Rawes,Captain,British,EIC,
J.P. Muller,KLtZ,Dutch,MAR,
George Robinson Walters,Captain,British,RN,
George Hunter,Captain,British,RN,
William Norton,Captain,British,Hudson Bay Company,
Henry Speke,Captain,British,RN,
James Gilchrist,Captain,British,RN,
Edward Riou,Captain,British,RN,
Edward Griffith,Rear Admiral,British,RN,
JUAN DE LANGARA Y HUARTE,CAPITAN,Spanish,,
JOS_ DE JULIN,CAPITAN,Spanish,,
Matthew Buckle,Captain,British,RN,
Cornelis van de Stam,Ltz,Dutch,VOC,
L. Pieterse,Opperstuurman,Dutch,MAR,
P. Hartsinck,Vice Admiraal,Dutch,MAR,
K. van de Erve,Kapitein,Dutch,,
Hugh Palliser,Captain,British,RN,assets/img/hugh_palliser.jpg
Joseph Dudman,Captain,British,EIC,
George Richardson,Captain,British,EIC,
Thomas Pye,Author,British,RN,
W.H. Kramer,Kapitein,Dutch,,
William Hughes,Captain,British,RN,
Thomas Dove,Author,British,RN,
Sir Thomas Williams,Captain,British,RN,
George Welstead,Captain,British,EIC,
Robert Linzee,Captain,British,RN,
N.J.C. van Vos,Ltz,Dutch,,
MIGUEL DE MALLA,CAPITAN,Spanish,,
MARTN DE LAZTARRA,CAPITAN,Spanish,,
John Wentworth Loring,Captain,British,RN,
John Hughes,Captain,British,RN,
Richard Collins,Captain,British,RN,
Charles Elphinstone,Captain,British,RN,
ANGEL LABORDE,CAPITAN,Spanish,,
Arriens,Kapitein,Dutch,MAR,
Kievyt,Kapitein,Dutch,MER,
,,Dutch,MCC,
John Jervis,Captain,British,RN,
Peter Douglas,Captain,British,EIC,
Michel de Sallaberry,Cdt.,French,,
B. Sneyders,Kapitein,Dutch,ADM,
C. Bijll,Ltz,Dutch,ADM,
JUAN DE MENDOZA Y URTADO,CAPITAN,Spanish,,
Zuirijn Dabenis,Kapitein,Dutch,ADM,
James Cranston,Captain,British,RN,
Washington Shirley,Captain,British,RN,
Kramer,Kapitein,Dutch,MER,
ANTONIO DE CORDOBA LAZO DE LA ,CAPITAN DE NAVIO,Spanish,,
Fredrik Breyman,Journaalhouder,Dutch,VOC,
Thomas Hardy,Captain,British,RN,
John Allen,Captain,British,EIC,
La Riviere,Cdt.,French,,
J.J. van der Veen,Kapitein,Dutch,,
Charles Malcolm,Captain,British,RN,
Woolcombe,Captain,British,RN,
Jonker,Kapitein,Dutch,,
John ?,Captain,British,RN,
K.W. Maren,Kapitein,Dutch,Marine,
D. Pruijmelaar,Kapitein,Dutch,MCC,
Knoop,Luitenant ter Zee,Dutch,Marine,
Thomas Fitzherbert,Captain,British,RN,
M. Durtuby,Cdt.,French,,
Sampson Salt,Captain,British,RN,
LUIS RAMREZ DE ARELLANO,CAPITAN,Spanish,,
Peter Clarke,Captain,British,RN,
John Cramer,Captain,British,RN,
ANDR_S VIEZMA,TENIENTE DE NAVO,Spanish,,
T.G. Rienitz,Kapitein,Dutch,,
P. Melvill,Ktz,Dutch,ADM,
Henry Lloyd,Captain,British,RN,
J. v.d. Velden,Adelborst,Dutch,ADM,
Arie Dams,Kapitein,Dutch,VOC,
E. Ippius Fockens,KLtz,Dutch,Marine,
George Ourry,Captain,British,RN,
Capt Coupland,Captain,British,RN,
Solomon Ferris,Captain,British,RN,
William Cornwallis,Captain,British,RN,
Wm. Smalt,,Dutch,MER,
William MacCleverty,Captain,British,RN,
A. van Daalen,Ktz,Dutch,ADM,
De Cry,Cdt.,French,,
William Kinsey,Captain,British,RN,
H.H. Fleugel,Schipper,Dutch,WIC,
Robert Baker,Captain,British,EIC,
William Parks,Captain,British,EIC,
Henry Hanwell,Captain,British,Hudson Bay Company,
Geesteranus,Kapitein ter Zee,Dutch,Marine,
Joseph Sydney York,Captain,British,RN,
Howard Hutchenson,Captain,British,RN,
Jan Palm,Kapitein,Dutch,,
William Affleck,Captain,British,RN,
Luke Dodds,Captain,British,EIC,
J. F. D. Bouricius,Kapitein ter Zee,Dutch,Marine,
J.V. Stellen,Kapitein,Dutch,MCC,
A. Jordan,Schrijver,Dutch,ADM,
M. Du Raye,Cdt.,French,,
Robert Deans,Captain,British,RN,assets/img/robert_deans.jpg
Francis Wyatt,Captain,British,RN,
George Keppel,Captain,British,RN,
Patrick Fotheringham,Captain,British,RN,
Robert Williams,Captain,British,EIC,
JOS_ DE LA VALETA,CAPITN,Spanish,,
Pedro del Barco,Capitan,Spanish,,
Thomas Borradaile,Captain,British,EIC,
JOSEPH SNCHEZ,CAPITAN,Spanish,,
Kearney,Cdt.,French,,
Jan Rijnlende,Kapitein,Dutch,ADM,
Thomas White,Captain,British,RN,
T. COOK,,Spanish,,
Adriaan Jacobse,Kapitein,Dutch,MCC,
N.P. Blommendal,KLtZ,Dutch,ADM,
P. Bezemer,Commandeur,Dutch,ADM,
R.J. Rijken,,Dutch,,
Edward LeCruz,Captain,British,RN,
Dulou,Cdt.,French,,
William Nowell,Captain,British,RN,
M. Ravenel,Cdt,French,,
John Milford,Captain,British,EIC,
P.A. Heybeek,Schrijver,Dutch,MAR,
Jacobus Boelen,Kapitein,Dutch,MER,
G.A. Pool,KLtz,Dutch,ADM,
Edward Clarke,Captain,British,RN,
John Raynor,Captain,British,RN,
Elmer M. Mooij,Stuurman,Dutch,WHA,
,,Dutch,ADM,
M. van Vlaanderen,Kapitein,Dutch,VOC,
Petrus Masschop,Luitenant Kolonel,Dutch,ADM,
MARQU_S DE MEDINA,COMANDANTE,Spanish,,
v.d. Ramhorst,Ltz. 1e kl.,Dutch,Marine,
A. van Dalen,Kapitein,Dutch,ADM,
Frederick Watkins,Captain,British,RN,
Johan Hendrik van Ourijk,Kapitein,Dutch,ADM,
Lucius OBryen,Captain,British,RN,
Jhr. J.E. Lewe van Aduard,Ktz,Dutch,Marine,
JOS_ DE JULIAN,CAPITAN,Spanish,,
Rupert George,Captain,British,RN,
JACINTO CAMAO,CAPITAN,Spanish,,
Andrew Barclay,Captain,British,RN,
Julian Legge ,Captain,British,RN,
William Hay,Captain,British,EIC,
William Hay,Captain,British,RN,
Davidge Gould,Captain,British,RN,
Richard Fisher,Captain,British,RN,
J. W. Moll,LtZ,Dutch,ADM,
MIGUEL DE SIERRA,TENIENTE DE NAVIO,Spanish,,
J. Baak,Luitenant,Dutch,ADM,
EDUARDO LINCH,CAPITAN,Spanish,,
Samuel John Hall,Captain,British,RN,
Frederick Hunn,Captain,British,RN,
Samuel Warren,Captain,British,RN,
Willem Snel,Commandeur,Dutch,WHA,
H. J. Tengbergen,Kltz,Dutch,ADM,
S. Veenstra,,Dutch,MER,
Henry Jenkins,Captain,British,RN,
George Brisac,Captain,British,RN,
Pedro de Llanos,Capitan,Spanish,,
D. Buijs,KLtZ,Dutch,MAR,
Charles Le Blanc,Captain,British,EIC,
Chaloner Ogle,Captain,British,RN,
,,Dutch,Thomas Brouw en Zn.,
J.G. Huijs,Ktz,Dutch,MAR,
P. Bezemer,Commandeur,Dutch,WHA,
J. Bark,Kapitein,Dutch,VOC,
FRANCISCO DE MONTES,CAPITAN,Spanish,,
W. Steffens,Kapitein,Dutch,ADM,
Gearoge Davies,Captain,British,RN,
Thomas Barrow,Captain,British,EIC,
Jonathan Blankett,Captain,British,RN,
Charles Ekins,Captain,British,RN,
Andrew Wilkinson,Captain,British,RN,
John Walker,Captain,British,RN,
Willink,Luitenant ter Zee,Dutch,Marine,
John Charles Roberts,Captain,British,RN,
BUENAVENTURA MORENO,CAPITAN,Spanish,,
Koops,Luitenant ter Zee,Dutch,Marine,
Le Fournier,Lt,French,,
A.C. van Braam Houckgeest,KLtZ,Dutch,MAR,
John Murray,Captain,British,RN,
Thomas Butler,Captain,British,EIC,
James Tait,Captain,British,RN,
Giezen,Kapitein,Dutch,,
Loftus Otway Bland,Captain,British,RN,
M. Du Beauregard de Telincourt,Cdt.,French,,
John Cooke,Captain,British,RN,
Edward Brace,Captain,British,RN,assets/img/edward_brace.jpg
Henry Desteree Darby,Captain,British,RN,assets/img/Henry_d'Esterre_Darby.jpg
J. Boelen,Kapitein,Dutch,,
Andrs Vlez,Capitan,Spanish,,
H. Hartman,Kapitein,Dutch,ADM,
G.C. Alvarez,LtZ,Dutch,,
Edward Edwards,Captain,British,RN,
Pieter van Breen,Journaalhouder,Dutch,MCC,
ANBAL CASONI,CAPITAN,Spanish,,
Robbert Goodwil,Kapitein,Dutch,MCC,
William Barrow,Captain,British,EIC,
James King,Captain,British,RN,
J.H. Forleij,Schrijver,Dutch,MER,
M. De Salambery,Cdt.,French,,
Charles Boyles,Captain,British,RN,
James Douglas,Captain,British,RN,
De Berger,Luitenant,Dutch,Marine,
Dibbetz,Kapitein,Dutch,ADM,
Jacinto de Vargas Machuca,Capitan,Spanish,,
John Woodmore,Captain,British,EIC,
William Farrer,Captain,British,EIC,
Ulke Barendsz,Kapitein,Dutch,VOC-Z,
Cornthwaite Omanny,Captain,British,RN,
William Tucker,Captain,British,RN,
J Gell,Captain,British,RN,
Allen Cooper,Captain,British,EIC,
George Losack,Captain,British,RN,
Thomas Hankerson ,Captain,British,RN,
James Worth,Captain,British,RN,
Henry Edward Stanhope,Captain,British,RN,
Peter Sampson,Captain,British,EIC,
William Brett,Captain,British,RN,
John Hunter,Captain,British,RN,assets/img/john_hunter.jpg
Charles Inglis,Captain,British,RN,
M. De Lacroix,Cdt.,French,,
Jacob Leertouwer,Kapitein,Dutch,VOC,
Cornelus D Wit,Commandant,Dutch,ADM,
Jos Rodr_guez Sol_s,Capitan,Spanish,,
Thomas Adams,Captain,British,RN,
Zeeman,,Dutch,,
Samuel Sule,Captain,British,EIC,
George Tripp,Captain,British,RN,
Stephen Kirwan,Captain,British,EIC,
,,Dutch,Particulier,
Groeneijk,Ltz. 2e kl.,Dutch,Marine,
John Ayscough,Captain,British,RN,
James Feathus,Captain,British,RN,
K. Sweys,,Dutch,,
Stavenisse de Brauw,Lt ter Zee,Dutch,Marine,
J.L. van Hasselt,KLtz,Dutch,Marine,
Richard Hills,Captain,British,RN,
J. F. C. Wardenburg,KtZ,Dutch,ADM,
Edward Packenham,Captain,British,RN,
H.J. Groot,Schrijver,Dutch,MAR,
Edward Le Cras,Captain,British,RN,
JOSE DE LA SOMAGIA,BRIGADIER,Spanish,,
