captainName,rank,nationality,company,Image
VICTOR MARA DE ANDARIENGOCHEA,CAPITAN,Spanish,,
C. De Bruyerea,Cdt.,French,,
TOMAS GERALDINO Y GERALDINO,COMANDANTE,Spanish,,
George Barker,Captain,British,RN,
Brandligt,Kapitein,Dutch,,
Coningsby Norbury,Captain,British,RN,
William Harington,Captain,British,EIC,
Juan Tutzo,Capitan,Spanish,,
H. de Wijn,,Dutch,MER,
Pvt de la Croix ,Cdt.,French,,
FEDERICO VARGAS,COMANDANTE,Spanish,,
Zuilen van Nijeveld,Kapitein,Dutch,ADM,
Vicente de Uraga,Capitan,Spanish,,
William King,Captain,British,RN,
W.A. Lans,,Dutch,MAR,
D.A. Zijlstra,Kapitein,Dutch,,
Oudkerk Pool,Kapitein,Dutch,MAR,
J. Kloppenburg,Kapitein,Dutch,,
M de Beauchesne,Lt,French,,
Velthoven,Kapitein,Dutch,,
L. Bakker,Kapitein,Dutch,MAR,
RAMIREZ DE ARELLANO,CAPITAN,Spanish,,
H. Rollfs,Kapitein,Dutch,,
H.H.T. Coops,KLtZ,Dutch,MAR,
"JUAN VARCRCEL, MARQU_S DE MED",CAPITAN,Spanish,,
A. de Monye,Kapitein,Dutch,Marine,
Jeremiah Dawkins,Captain,British,EIC,
MARTN LAZTARRIA,COMANDANTE,Spanish,,
Willem Kreekel,Commandant,Dutch,ADM,
J.G. Schr_der,Kapitein,Dutch,,
James Burney,Captain,British,RN,
William Ward Farren,Captain,British,EIC,
J.B. Giezen,Kapitein,Dutch,,
IGNACIO MARIA DE ALAVA,COMANDANTE,Spanish,,
Thomas Davey,Captain,British,RN,
G. Abrahams,Kapitein,Dutch,Marine,
George Keith Elphinstone,Captain,British,RN,
Joseph Ellison,Captain,British,RN,
Matthew Boyd,Captain,British,EIC,
,,Dutch,,
Martoelet,Kapitein,Dutch,MAR,
Thomas Male,Captain,British,RN,
J.H. de Raes,Luitenant ter Zee,Dutch,Marine,
Francois Moser,Gezaghebber,Dutch,VOC,
Van Helsdinge,commandant,Dutch,ADM,
R Pennell,Captain,British,EIC,
Henry Broadly,Author,British,EIC,
James Bradby,Captain,British,RN,
Francis S Drake,Captain,British,RN,
D.G. Muller,Adelborst 2e klas,Dutch,MAR,
Thomas Dethick,Author,British,EIC,
N.P. Blommendal,KLtZ,Dutch,,
A.A. Buyskes,Luijtenant,Dutch,ADM,
Alex Henry Bond,Captain,British,EIC,
Charles Grant,Captain,British,RN,
FCO. BANZES,CAPITAN,Spanish,,
G. van Rentergem,Schipper,Dutch,VOC,
C.J. Blok,Kapitein,Dutch,MER,
C.J. Palm,Kapitein,Dutch,ADM,
Hon William Waldgrave,Captain,British,RN,
FRANCISCO BANCES CANDAMO,BRIGADIER,Spanish,,
John Knight,Author,British,RN,
G. Slichtenbree,Kapitein,Dutch,,
Jos Suarez Quir_s,Capitan,Spanish,,
George Bridges Rodney,Captain,British,RN,
Carel Breedau,Kapitein,Dutch,MCC,
John Tedd,Author,British,EIC,
Manuel Fernndez Trelles,Capitan,Spanish,,
Montgomerie Hamilton,Captain,British,EIC,
Gerardus Oosthuis,Kapitein,Dutch,MAR,
Philip Batholomew,Captain,British,RN,
Juan Tuxzo,Capitan,Spanish,,
Henry Drummond,Captain,British,EIC,
Henry Drummond,Captain,British,RN,
J. le Jeune,LtZ 1e klasse,Dutch,MAR,
JOSEF DE VARGAS,COMANDANTE Y CAPITN,Spanish,,
W.A. Geesteranus,Ktz,Dutch,MAR,
Henry Dennis,Author,British,RN,
Geweldige,,Dutch,MER,
Ebels,Kapitein,Dutch,,
C. Eeg,KLtz,Dutch,MAR,
John Okes,Captain,British,RN,
William Goate,Captain,British,RN,
Thomas Gosselin,Captain,British,RN,
Jonathan Stott,Captain,British,RN,
SANTOS RODRGUEZ,CAPITAN,Spanish,,
William Ranier,Captain,British,RN,
Anthonij Theodorus Detmers,1e Officier,Dutch,MAR,
Mungo Gilmore,Captain,British,EIC,
William Lloyd,Captain,British,RN,
John Turner,Captain,British,Hudson Bay Company,
Thomas Wilkinson,Captain,British,EIC,
W. van der Beets,Kapitein,Dutch,ADM,
FRANCISCO MELGAREJO,CAPITAN,Spanish,,
J.A. de Maas,Kapitein,Dutch,,
Thomas Wilkinson,Captain,British,RN,
J.B. Fuchs,,Dutch,MER,
JOSE DE JULIN,CAPITAN,Spanish,,
J.W. de Velde,1e Officier,Dutch,MAR,
F. de Jong,Kapitein,Dutch,,
A. Schaap,Kapitein,Dutch,MER,
Richard Hill,Captain,British,EIC,
William Garnier,Captain,British,RN,
Ben Caldwell,Captain,British,RN,assets/img/Ben_Caldwell.jpg
F.W. Freudenberg,KLtZ,Dutch,MAR,
J. van der Straaten,KLtZ,Dutch,MAR,
Jacob Pieter van Braam,Kapitein,Dutch,ADM,
M. De Vaugiraud,Cdt.,French,,
M. Vidal D Audiffret,Cdt.,French,,
Josias Rowley,Captain,British,RN,assets/img/JosiasRowley.jpg
F. Sweer,LtZ,Dutch,ADM,
ANTONIO POSADAS,CAPITAN,Spanish,,
JUAN JOSE DE ELIZALDE,TENIENTE DE NAVIO,Spanish,,
John Hamilton,Captain,British,RN,
John Clements,Captain,British,EIC,
Joseph Spear,Captain,British,RN,
M. Saxe,Schipper,Dutch,WIC,
RUBALCABA,CAPITAN,Spanish,,
Robert Carre,Captain,British,RN,
J Collins,Captain,British,EIC,
William Norton,Captain,British,RN,
FRANCISCO FORNAGUERA,CAPITAN,Spanish,,
Juan Manuel de las Cagigas,Capitan,Spanish,,
Thomas Underwood,Captain,British,RN,
John Drew,Captain,British,RN,
M.B. Hoffman,Kapitein,Dutch,MER,
Keith Maxwell,Captain,British,RN,
John Cook,Captain,British,EIC,
C. Mattijsen,Kapitein,Dutch,MCC,
Jacob Watton,Captain,British,RN,
C. Schroeder,KLtZ,Dutch,ADM,
C. van der Hart,KLtZ,Dutch,,
J.J. Rotgans,Kapitein,Dutch,,
O. Magielsen,Schipper,Dutch,MCC,
M. Hocquart,Cdt.,French,,
Richard Roddam,Captain,British,RN,
J.R. Butter,Kapitein,Dutch,,
James Ferguson,Captain,British,RN,
ANDR_S DE LLANO,ALF_REZ,Spanish,,
George Stephens,Captain,British,RN,
George Gregory,Captain,British,RN,
John Patterson,Captain,British,EIC,
Mitchell Graham,Captain,British,RN,
