OriginalName,Latitude,Longitude,GeocodeMatch
Java Head,-6.83,106,Java W point (estimate)
Maderia,32.63,-16.9,
Cape Lagullas,-34.83,20,
Braamspunt,6,-55.17,"Braamspunt, Surinam"
Boston,42.32,-70.9333,
St Augustines,-23.4,43.6666,"St Augustine's Bay, Madagascar"
Tenerife,28.28,-16.65,"Tenerife, Canaries (Pico de Teide)"
St Johns,21.17,72.9,
St Augustins Bay,-23.4,43.6666,"St Augustine's Bay, Madagascar"
Anjango Road,8.67,76.78,"Anjengo, Kerala, SW India"
St Hellena,-15.93,-5.73,Jamestown
Malacca Town,2.23,102.23,"Melaka, Malaysia"
Porto Kabello,10.48,-68.03,"Puerto Cabello, Venezuela"
Porto Praija,14.92,-23.52,"Porto Praia, Cape Verdes"
St Jago,14.92,-23.52,"Porto Praia, Cape Verdes"
Teneriffe,28.28,-16.65,
Cape Coast,5.15,-1.27,Cape Coast
Cochin,9.33,76.25,"Cochin, Kerala, India"
Paita,-5.1833,-81.15,"Paita, Peru"
Monserrat,16.75,-62.23,Montserrat
St Michaels,37.73,-25.67,
Baai Falso,-34.35,18.5,"Cape of Good Hope, South Africa"
Bahia de Todos los Santos,-13.0167,-38.5333,"Bahia de Todos los Santos, Brasil"
Buenos Aires,-34.667,-58.5,
Cayenne,4.9167,52.3,"Cayenne, French Guiana"
Freetown,8.5,-13.28,Freetown
Grand Canarien,28.1,-15.4,
Guiana,5.8,-53.97,Maroni river
Malaga,36.7167,4.4167,"Malaga, Spain"
Porto Crajo,14.92,-23.52,"Porto Praia, Cape Verdes"
St Vincent,16.9,-25,"S. Vincente, Cape Verde"
Bergen,60.4,5.316666667,Norway
Port des Francais,58.6,-137.65,"Lituya Bay, Alaska, USA"
Sandy Hook,40.47,-74,
Trincomale,8.57,81.22,"Trincomalee, Sri Lanka"
Fort Amsterdam,5.8,-55.15,"Mouth of Surinam river, Surinam, South America"
Pampus,52.38,4.53,"Pampus, the Netherlands"
Montevideo,-34.92,-56.16,
Cura_ao,12.2,-68.933,"Willemstad, Curacao, Nederlandse Antillen"
Porte Cabello,10.48,-68.03,"Puerto Cabello, Venezuela"
Castries,51.4667,140.7667,"De Kastri, Rusia"
St Pierre,46.79,-56.1667,St Pierre Island
Fort Axim,4.866666667,-2.25,
Start,50.22,-3.63,"Start Point, Devon, England"
Baai Fals,-34.35,18.5,"Cape of Good Hope, South Africa"
Mesurado,6.33,-10.83,"Mesurado, C, Liberia"
Fyall Bay (Azores),38.5,-28.6,"Fayal, Azores"
Port Desire,-47.5,-66,Deseado
Toulon,43.1167,5.9167,"Toulon, France"
Johanna,-12.22,44.42,Ile Anjouan
Accraw,5.533333333,-0.2,"Accra, Ghana"
Cape St Maries,13.47,-16.67,"Banjul, Gambia"
Cape Verde,14.72,-17.52,
Port Praya,14.92,-23.52,"Porto Praia, Cape Verdes"
River Gambia,13.47,-16.65,Gambia river entrance
Senegal River,16.02,-16.5,"Senegal River, Senegal"
St Johns Antigua,17.15,-61.82,"Antigua, Windward Islands, Carib."
Acheen,5.5,95.37,"Banda Aceh, Sumatra, Indonesia"
Madagascar,-20.28,44.28,
Pulo Pinang,3.55,102.5666667,Pinang or Penang
Pulo Timoan,2.72,104.22,Pulau Tioman
Trincomalee,8.57,81.22,"Trincomalee, Sri Lanka"
ALICANTE,38.35,-0.4833,"Alicante, Spain"
Manila,14.58,120.98,
Monopin Hill,2.45,104.52,Pulau Aur
Bramspunt,6,-55.17,"Braamspunt, Suriname"
Dartmouth,50.35,-3.59,Dartmouth
"Fort Dauphin Bay, Madagascar",-25.03,47,"Tolanaro, E Madagascar"
Macasser,-5.15,119.47,"Ujung Pandang, Indonesia"
Cabo de Goede Hoop,-34.3667,18.4667,"Cape of Good Hope, South Africa"
Elmina,5.15,-1.317,"Elmina, Ghana, Africa"
Kaap Monte,6.33,-10.83,Mesurado
Kaap Apollonia,4.983333333,2.55,"Beyin, Ghana"
Marseille,43.3,5.3667,"Marseille, France"
Rio de la Plata,-38,-57.5333,"Mar del Plata, Argentina"
St Eustasius,7.55,-63,"Sint Eustatius, WI"
Start Point,50.22,-3.63,"Start Point, Devon, England"
Norfolk,36.9,-76.3,"Norfolk, Virginia, USA"
Akijab,20.15,92.9167,"Sittwe, Burma"
Maregat,51.4,1.4,"Margate, Kent, England"
San Salvador,-12.97,-38.48,Salvador
St Cruz,28.47,-16.25,Santa Cruz de Teneriffe
Callao,-12.03,-77.17,callao
Batowia Road,-6.15,106.9166667,"Jakarta, Java, Indonesia"
